# Phi_st Means
	ALP	CTT	LPASS	MAU	PDR	PPURA	RT	SNEV	SP	STE
ALP		0.345189	0.159254	0.101549	0.170136	0.0644196	0.161367	0.1266	0.0568559	0.124794
CTT			0.356542	0.410501	0.496041	0.293295	0.303311	0.373114	0.313741	0.28143
LPASS				0.186338	0.23447	0.138692	0.163263	0.161168	0.141827	0.126491
MAU					0.226663	0.0718228	0.183763	0.154126	0.084813	0.141532
PDR						0.151824	0.251816	0.213813	0.143905	0.18722
PPURA							0.133371	0.109023	0.0550049	0.110167
RT								0.182587	0.146554	0.120598
SNEV									0.113661	0.133035
SP										0.114695

# Fst' Means
	ALP	CTT	LPASS	MAU	PDR	PPURA	RT	SNEV	SP	STE
ALP		0	0.100955	0.0612631	0.107598	0.0331365	0.0973174	0.0750142	0.028009	0.0735549
CTT			0	0	0	0	0	0	0	0
LPASS				0.127075	0.162064	0.0885044	0.0960163	0.104009	0.0879138	0.0762773
MAU					0.154355	0.0463256	0.125872	0.100963	0.0507852	0.0932293
PDR						0.0968969	0.155668	0.147054	0.0931198	0.123905
PPURA							0.0851242	0.0667734	0.0285683	0.0656432
RT								0.108357	0.0827148	0.0659159
SNEV									0.0681857	0.079759
SP										0.065032

# Dxy Means
	ALP	CTT	LPASS	MAU	PDR	PPURA	RT	SNEV	SP	STE
ALP		nan	nan	nan	nan	nan	nan	nan	nan	nan
CTT			nan	nan	nan	nan	nan	nan	nan	nan
LPASS				nan	nan	nan	nan	nan	nan	nan
MAU					nan	nan	nan	nan	nan	nan
PDR						nan	nan	nan	nan	nan
PPURA							nan	nan	nan	nan
RT								nan	nan	nan
SNEV									nan	nan
SP										nan
